Designator,Mid X,Mid Y,Rotation
C1,131.65,-82.6,240
C2,133.12,-85.59,90
C3,118.7,-76.3,90
C4,110.39,-81.43,315
C5,123.31,-91.85,180
C6,127.2,-82.15,180
C7,110.6,-89,0
C8,113,-79.5,315
CR1,130.15,-84.85,332.3
D0,206.13,-3.18,90
D1,34.68,-3.18,90
D2,53.73,-3.18,90
D3,72.78,-3.18,90
D4,91.83,-3.18,90
D5,110.88,-3.18,90
D6,128.98,-3.03,90
D7,143.43,-1.92,0
D8,168.03,-3.18,90
D9,187.08,-3.18,90
DA,48.97,-40.78,90
DALT,60.87,-76.38,90
DB,134.69,-59.83,90
DBACKSPACE,234.71,-3.18,90
DBACKSPACE2,98.97,-76.38,90
DC,96.59,-59.83,90
DCAPSLOCK,23.01,-40.78,90
DCTRL,18.01,-78.88,90
DD,87.07,-40.78,90
DDEL,306.14,-78.88,90
DE,82.31,-21.73,90
DESC,15.63,-3.18,90
DF,106.12,-40.78,90
DFN,177.56,-78.88,90
DG,125.17,-40.78,90
DH,144.22,-40.78,90
DI,177.56,-21.73,90
DINSERT,304.99,-3.88,90
DJ,163.27,-40.78,90
DK,182.32,-40.78,90
DKP_0,287.09,-78.88,90
DKP_1,268.19,-59.83,90
DKP_2,287.24,-59.83,90
DKP_3,306.29,-59.83,90
DKP_4,268.19,-40.78,90
DKP_5,287.24,-40.78,90
DKP_6,306.29,-40.78,90
DKP_7,268.19,-21.73,90
DKP_8,287.24,-21.73,90
DKP_9,306.29,-21.73,90
DL,201.37,-40.78,90
DM,172.79,-59.83,90
DMENU,198.99,-78.88,90
DN,153.74,-59.83,90
DNUMLOCK,268.19,-3.18,90
DO,196.61,-21.73,90
DP,215.66,-22.23,90
DQ,44.21,-21.73,90
DR,101.36,-21.73,90
DS,68.02,-40.78,90
DSCROLLLOCK,287.24,-3.18,90
DSHIFT,18.01,-59.83,90
DSHIFT2,215.66,-59.83,90
DSPACE,225.18,-3.18,90
DSPACE10,39.44,-59.83,90
DSPACE11,191.84,-59.83,90
DSPACE12,244.23,-64.59,90
DSPACE13,109,-76.38,90
DSPACE14,146.6,-76.38,90
DSPACE15,225.18,-83.64,90
DSPACE16,244.23,-83.64,90
DSPACE17,263.28,-83.64,90
DSPACE3,239.47,-22.23,90
DSPACE4,244.05,-38.36,90
DSPACE6,220.42,-40.78,90
DT,120.41,-21.73,90
DTAB,20.39,-21.73,90
DU,158.51,-21.73,90
DV,115.64,-59.83,90
DW,63.26,-21.73,90
DWIN,39.44,-78.88,90
DX,77.54,-59.83,90
DY,139.46,-21.73,90
DZ,58.49,-59.83,90
J1,154.25,-4.7,0
R1,111.95,-91.05,0
R2,154.7,-86.6,180
R3,154.5,-9.6,270
R4,149.8,-9.6,270
R5,151.35,-9.6,270
R6,152.95,-9.6,270
U2,119,-85,270
SW2,158.98,-83.03,0
